Country,Capital,Latitude,Longitude,GDP (Millions)
United States,Washington D.C.,38.9072,-77.0369,27360935.00
China,Beijing,39.9042,116.4074,17794781.99
Germany,Berlin,52.5200,13.4050,4456081.02
Japan,Tokyo,35.6762,139.6503,4212945.16
India,New Delhi,28.6139,77.2090,3549918.92
United Kingdom,London,51.5074,-0.1278,3340032.38
France,Paris,48.8566,2.3522,3030904.09
Italy,Rome,41.9028,12.4964,2254851.21
Brazil,Brasilia,-15.8267,-47.9218,2173665.66
Canada,Ottawa,45.4215,-75.6972,2140085.57
Russia,Moscow,55.7558,37.6173,2021421.48
Mexico,Mexico City,19.4326,-99.1332,1788886.82
Australia,Canberra,-35.2809,149.1300,1723827.22
South Korea,Seoul,37.5665,126.9780,1712792.85
Spain,Madrid,40.4168,-3.7038,1580694.71
Indonesia,Jakarta,-6.2088,106.8456,1371171.15
Netherlands,Amsterdam,52.3676,4.9041,1118124.75
Turkey,Ankara,39.9334,32.8597,1108022.37
Saudi Arabia,Riyadh,24.7136,46.6753,1067582.93
Switzerland,Bern,46.9480,7.4474,884940.40
Poland,Warsaw,52.2297,21.0122,811229.10
Taiwan,Taipei,25.0330,121.5654,789000.00
Argentina,Buenos Aires,-34.6118,-58.4173,640591.41
Belgium,Brussels,50.8503,4.3517,632216.58
Sweden,Stockholm,59.3293,18.0686,593267.70
Ireland,Dublin,53.3498,-6.2603,545629.45
Austria,Vienna,48.2082,16.3738,516034.14
Thailand,Bangkok,13.7563,100.5018,514944.99
Israel,Jerusalem,31.7683,35.2137,509901.50
United Arab Emirates,Abu Dhabi,24.4539,54.3773,504173.45
Singapore,Singapore,1.3521,103.8198,501427.50
Norway,Oslo,59.9139,10.7522,485513.32
Venezuela,Caracas,10.4806,-66.9036,482359.32
Bangladesh,Dhaka,23.8103,90.4125,437415.33
Philippines,Manila,14.5995,120.9842,437146.37
Vietnam,Hanoi,21.0285,105.8542,429716.97
Denmark,Copenhagen,55.6761,12.5683,404198.76
Iran,Tehran,35.6892,51.3890,401504.51
Malaysia,Kuala Lumpur,3.1390,101.6869,399648.83
Egypt,Cairo,30.0444,31.2357,395926.08
South Africa,Pretoria,-25.7461,28.1881,377781.60
Colombia,Bogotá,4.7110,-74.0721,363540.16
Nigeria,Abuja,9.0765,7.3986,362814.95
Romania,Bucharest,44.4268,26.1025,351002.58
Pakistan,Islamabad,33.6844,73.0479,338368.46
Chile,Santiago,-33.4489,-70.6693,335533.33
Czech Republic,Prague,50.0755,14.4378,330858.34
Finland,Helsinki,60.1695,24.9354,300187.20
Portugal,Lisbon,38.7223,-9.1393,287080.01
Peru,Lima,-12.0464,-77.0428,267603.25
Kazakhstan,Nur-Sultan,51.1694,71.4491,261421.12
New Zealand,Wellington,-41.2865,174.7762,253465.70
Iraq,Baghdad,33.3152,44.3661,250842.78
Algeria,Algiers,36.7372,3.0863,239899.49
Greece,Athens,37.9838,23.7275,238206.31
Qatar,Doha,25.2854,51.5310,235770.40
Hungary,Budapest,47.4979,19.0402,212388.91
Ukraine,Kyiv,50.4501,30.5234,178757.02
Ethiopia,Addis Ababa,9.1450,38.7170,163697.93
Kuwait,Kuwait City,29.3759,47.9774,161772.22
